id,type,heading,totalCount,numSubCategories,subHeading,numOfDuas,arabic,roman,translation,refText,refType,refChapter,headingRoman
7,Prayer,Supplication before ablution,1,0,Supplication before ablution,1,بِسْمِ اللّٰہِ,"""اللہ کے نام سے""",In the Name of Allah,"Al-Albani, 'Irwa'ul-Ghain",Hadith, 1/122.,وضو سے پہلے کی دعا
8,Prayer,Supplication after ablution,1,0,Supplication after ablution,1,اَشْھَدُ اَنْ لَّآ اِلٰہَ اِلَّا اللّٰہُ وَحْدَہٗ لَاشَرِیْکَ لَہٗ وَاَشْھَدُ اَنَّ مُحَمَّدًا عَبْدُہٗ وَرَسُوْلُہٗ,"""میں گواہی دیتا ہوں کہ اللہ کے سوا کوئی معبود نہیں، وہ اکیلا ہے، اس کا کوئی شریک نہیں، اور میں گواہی دیتا ہوں کہ محمد ﷺ اللہ کے رسول اور اس کے بندے ہیں۔","I bear witness that none has the right to be worshipped but Allah alone, Who has no partner; and I bear witness that Muhammad is His slave and His Messenger.", Muslim ,Hadith, 1/209.,وضو کے بعد کی دعا
9,"Daily, Prayer",Supplication and recitation of Durood after Azan,1,0,Supplication and recitation of Durood after Azan,1,اَللّٰھُمَّ رَبَّ ھٰذِہِ الدَّعْوَۃِ التَّآمَّۃِ وَالصَّلٰوۃِ الْقَآئِمَۃِ اٰتِ مُحَمَّدَ ۨ  الْوَسِیْلَۃَ وَالْفَضِیْلَۃَ وَابْعَثْہُ مَقَامًا مَّحْمُودَ  ۨ الَّذِیْ وَعَدْتَّہٗ (اِنَّکَ لَا تُخْلِفُ الْمِیْعَادَ),"اے اللہ! اس مکمل دعوت اور قائم نماز کے رب! محمد ﷺ کو وسیلہ اور فضیلت عطا فرما اور انہیں وہ مقام محمود دے جو تو نے وعدہ کیا ہے (بیشک تُو وعدہ خلافی نہیں کرتا)
","After replying to the call of Mu'aththin. you should recite in Arabic Allah's blessings on the Prophet.O Allah , Lord of this perfect call and established prayer. Grant Muhammad the intercession and favor, and raise him to the honored station You have promised him, [verily You do not neglect promises].","Al-Bukhari and the addition between brackets is from Al-Bayhaqi 1/410 with a good (Hasan) chain of narration. See 'Abdul-Azlz bin Baz's Tuhfatul-'Akhyar, ",Hadith,Al-Bukhari 1/152,اذان کے بعد درود و دعا
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,اَللّٰہُ اَکْبَرُ,"""اللہ سب سے بڑا ہے""",Allah is the Greatest, Sahih Muslim ,Hadith,583,نماز کے بعد سلام پھیرنے کے بعد کی دعا
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,اَللّٰھُمَّ اَعِنِّیْ عَلٰی ذِکْرِکَ وَشُکْرِکَ وَحُسْنِ عِبَادَتِکَ,اے اللہ! میری مدد فرما تاکہ میں تیرا ذکر، تیرا شکر اور تیری عبادت اچھے طریقے سے کر سکوں۔,"May Allah bless you with remembrance, thanksgiving, and good worship.",Sahih Ibn Hibban (2020).,Hadith,(2020).,نماز کے بعد سلام پھیرنے کے بعد کی دعا
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,لَآ اِلٰہَ اِلَّا اللّٰہُ وَحْدَہٗ لَاشَرِیْکَ لَہٗ، لَہُ الْمُلْکُ وَلَہُ الْحَمْدُ وَھُوَ عَلٰی کُلِّ شَیْئٍ قَدِیْرٌ  اَللّٰھُمَّ لَا مَانِعَ لِمَآ اَعْطَیْتَ وَلَا مُعْطِیَ لِمَا مَنَعْتَ وَلَا یَنْفَعُ ذَا الْجَدِّ مِنْکَ الْجَدُّ,"""اللہ کے سوا کوئی معبود نہیں، وہ اکیلا ہے، اس کا کوئی شریک نہیں، اسی کے لئے سلطنت ہے اور اسی کے لئے سب تعریفیں ہیں، وہ ہر چیز پر قادر ہے، اے اللہ! جو تو نے دیا اسے کوئی روک نہیں سکتا اور جو تو نے روکا وہ کوئی دے نہیں سکتا، اور تیرے سامنے کوئی طاقتور شخص طاقتور نہیں ہو سکتا","None has the right to be worshipped but Allah alone, He has no partner, His is the dominion and His is the praise, and He is Able to do all things. O Allah, there is none who can withhold what You give, and none may give what You have withheld; and the might of the mighty person cannot benefit him against You.",Muslim ,Hadith,1/414.,نماز کے بعد سلام پھیرنے کے بعد کی دعا
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,لَآ اِلٰہَ اِلَّا اللّٰہُ وَحْدَہٗ لَا شَرِیْکَ لَہٗ، لَہُ الْمُلْکُ وَلَہُ الْحَمْدُ وَھُوَ عَلٰی کُلِّ شَیْئٍ قَدِیْرٌ،لَا حَوْلَ وَلَا قُوَّۃَ اِلَّا بِاللّٰہِ، لَآ اِلٰہَ اِلَّا اللّٰہُ وَلَا نَعْبُدُ اِلَّآ اِیَّاہُ، لَہُ النِّعْمَۃُ وَلَہُ الْفَضْلُ وَلَہُ الثَّنَآئُ الْحَسَنُ لَآ اِلٰہَ اِلَّا اللّٰہُ مُخْلِصِیْنَ لَہُ الدِّیْنَ وَلَوْکَرِہَ الْکَافِرُوْنَ,"""اللہ کے سوا کوئی معبود نہیں، وہ اکیلا ہے، اس کا کوئی شریک نہیں، اسی کے لئے سلطنت ہے اور اسی کے لئے سب تعریفیں ہیں، وہ ہر چیز پر قادر ہے، نہ کوئی طاقت ہے اور نہ کوئی قوت، سوائے اللہ کے، اللہ کے سوا کوئی معبود نہیں، اور ہم صرف اُسی کی عبادت کرتے ہیں، اسی کے لئے تمام نعمتیں، فضل اور بہترین حمد ہے، اللہ کے سوا کوئی معبود نہیں، ہم خالص اس کے لئے دین کو اپناتے ہیں، چاہے کافر اسے ناپسند کریں","None has the right to be worshipped but Allah alone, He has no partner, His is the dominion and His is the praise and He is Able to do all things. There is no power and no might except by Allah . None has the right to be worshipped but Allah, and we do not worship any other besides Him . His is grace , and His is bounty ", Muslim ,Hadith,1/415.,نماز کے بعد سلام پھیرنے کے بعد کی دعا
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,سُبْحَانَ اﷲِ، (33) مرتبہ،  اَلْحَمْدُلِلّٰہِ، (33) مرتبہ،  اَللّٰہُ اَکْبَرُ(33) مرتبہ،  (ایک مرتبہ)  لَآ اِلٰہَ اِلَّا اللّٰہُ وَحْدَہٗ لَاشَرِیْکَ لَہٗ، لَہُ الْمُلْکُ وَلَہُ الْحَمْدُ وَھُوَ عَلٰی کُلِّ شَیْئٍ قَدِیْرٌ,"""اللہ کی پاکیزگی ہے، (33) مرتبہ، اللہ کی تمام تعریفیں ہیں، (33) مرتبہ، اللہ سب سے بڑا ہے، (33) مرتبہ، (ایک مرتبہ) اللہ کے سوا کوئی معبود نہیں، وہ اکیلا ہے، اس کا کوئی شریک نہیں، اسی کے لیے سلطنت ہے اور اسی کے لیے سب تعریفیں ہیں، وہ ہر چیز پر قادر ہے۔""","Glory is to Allah , and praise is to Allah , and Allah is the Most Great (each said thirty-three times). None has the right to be worshipped but Allah alone, He has no partner, His is the dominion and His is the praise and He is Able to do all things.", Whoever says this after every prayer will be forgiven his sins even though they be as the foam of the sea,Hadith," 1/418,",نماز کے بعد سلام پھیرنے کے بعد کی دعا
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,َللّٰہُ لَاۤ اِلٰہَ اِلَّا ہُوَۚ اَلۡحَیُّ الۡقَیُّوۡمُ  ۬ ۚ لَا تَاۡخُذُہٗ سِنَۃٌ وَّ لَا نَوۡمٌ ؕ لَہٗ مَا فِی السَّمٰوٰتِ وَ مَا فِی الۡاَرۡضِ ؕ مَنۡ ذَا الَّذِیۡ یَشۡفَعُ  عِنۡدَہٗۤ  اِلَّا بِاِذۡنِہٖ ؕ یَعۡلَمُ مَا بَیۡنَ اَیۡدِیۡہِمۡ وَ مَا خَلۡفَہُمۡ  ۚ وَ لَا یُحِیۡطُوۡنَ بِشَیۡءٍ مِّنۡ عِلۡمِہٖۤ اِلَّا بِمَا شَآءَ ۚ وَسِعَ کُرۡسِیُّہُ السَّمٰوٰتِ وَ الۡاَرۡضَ ۚ وَ لَا یَئُوۡدُہٗ حِفۡظُہُمَا ۚ وَ ہُوَ الۡعَلِیُّ  الۡعَظِیۡمُ,"""اللہ وہ معبود ہے جس کے سوا کوئی معبود نہیں، وہ زندہ اور قائم رہنے والا ہے، نہ اس کو اونگھ آتی ہے نہ نیند، جو کچھ آسمانوں میں ہے اور جو کچھ زمین میں ہے وہ سب اسی کا ہے، کون ہے جو اس کے سامنے بغیر اس کی اجازت کے شفاعت کرے، وہ جانتا ہے جو ان کے سامنے ہے اور جو ان کے پیچھے، اور وہ اس کے علم کا احاطہ نہیں کرتے سوائے اس کے جو وہ چاہے، اس کی کرسی آسمانوں اور زمین کو گھیرے ہوئے ہے اور ان دونوں کا حفظ اسے تھکاتا نہیں، اور وہ بلند و برتر، عظیم ہے","Allah! There is none worthy of worship but He, the Ever Living, the One Who sustains and protects all that exists. Neither slumber nor sleep overtakes Him. To Him belongs whatever is in the heavens and whatever is on the earth. Who is he that can intercede with Him except with His Permission? He knows what happens to them in this"," An-Nasa'i, 'Amalul-Yawm wal-Laylah  also Ibn As-Sunni ( See also Al-Albani, Sahihul and Silsilatul-Ahadith As-Sahihah ",Hadith," Al-Albani, Sahihul-Jami' As-Saghir 5/339 and Silsilatul-Ahadith As-Sahihah 2/697 (no. 972).",نماز کے بعد سلام پھیرنے کے بعد کی دعا
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,لَآ اِلٰہَ اِلَّا اللّٰہُ وَحْدَہٗ لَاشَرِیْکَ لَہٗ، لَہُ الْمُلْکُ وَلَہُ الْحَمْدُ یُحْیٖ وَیُمِیْتُ وَھُوَ عَلٰی کُلِّ شَیْئٍ قَدِیْرٌ,"""اللہ کے سوا کوئی معبود نہیں، وہ اکیلا ہے، اس کا کوئی شریک نہیں، اسی کے لیے سلطنت ہے اور اسی کے لیے سب تعریفیں ہیں، وہ زندہ کرتا ہے اور مارتا ہے، اور وہ ہر چیز پر قادر ہے","None has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise . He brings life and He causes death , and He is Able to do all things. (Recite ten times in Arabic after the Maghrib and Fajr prayers.)", At-Tirmithi . See its checking in Ibn Al-Qayyim Al-Jawziyyah's Zadul-Ma'ad ,Hadith," At-Tirmithi 5/515, Ahmad 4/227",نماز کے بعد سلام پھیرنے کے بعد کی دعا
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,اَللّٰھُمَّ اِنِّیْٓ اَسْئَلُکَ عِلْمًا نَافِعًا وَّرِزْقًا طَیِّبًا وَّعَمَلًا مُّتَقَبَّلًا,"ے اللہ! میں تجھ سے مفید علم، پاکیزہ رزق، اور قبول شدہ عمل کی دعا کرتا ہوں۔""","O Allah, I ask You for knowledge that is of benefit , a good provision , and deeds that will be accepted. (Recite in Arabic after the Fajr prayer.)"," Ibn Majah and others. See Al-Albani, Sahih Ibn Majah and Majma'uz-Zawd'id ",Hadith,"Al-Albani, Sahih Ibn Majah 1/152 and Majma'uz-Zawd'id 10/111.",نماز کے بعد سلام پھیرنے کے بعد کی دعا
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,اَسْتَغْفِرُاللّٰہَ، اَسْتَغْفِرُاللّٰہَ، اَسْتَغْفِرُاللّٰہَ، اَللّٰھُمَّ اَنْتَ السَّلَامُ وَمِنْکَ السَّلَامُ تَبَارَکْتَ یَا ذَا الْجَلَالِ وَالْاِکْرَامِ,"""میں اللہ سے مغفرت طلب کرتا ہوں، میں اللہ سے مغفرت طلب کرتا ہوں، میں اللہ سے مغفرت طلب کرتا ہوں، اے اللہ! تُو ہی سلامتی دینے والا ہے، اور تیری طرف سے ہی سلامتی آتی ہے، تو برکت والا ہے، اے جلال و کرم والے","I seek the forgiveness of Allah (three times) . O Allah, You are Peace and from You comes peace . Blessed are You , O Owner of majesty and honor.", Muslim ,Hadith,Muslim 1/414.,نماز کے بعد سلام پھیرنے کے بعد کی دعا
11,Prayer,Supplication of Vitr (Qunut),2,0,Supplication of Vitr (Qunut),2,اَللّٰھُمَّ اھْدِنِیْ فِیْمَنْ ھَدَیْتَ وَعَافِنِیْ فِیْمَنْ عَافَیْتَ وَتَوَلَّنِیْ فِیْمَنْ تَوَلَّیْتَ وَبَارِکْ لِیْ فِیْمَآ اَعْطَیْتَ وَقِنِیْ شَرَّ مَا قَضَیْتَ فَاِنَّکَ تَقْضِیْ وَلَا یُقْضٰی عَلَیْکَ اِنَّہٗ لَا یَذِلُّ مَنْ وَّالَیْتَ (وَلَا یَعِزُّ مَنْ عَادَیْتَ) تَبَارَکْتَ رَبَّنَا وَتَعَالَیْتَ,"""اے اللہ! میری رہنمائی ان لوگوں میں سے کر جنہیں تو نے ہدایت دی، اور مجھے ان لوگوں میں سے عافیت دے جنہیں تو نے عافیت دی، اور میری رہنمائی ان لوگوں میں سے کر جنہیں تو نے اپنا ولی بنایا، اور جو کچھ تو نے مجھے دیا ہے اس میں برکت ڈال، اور جو فیصلے تو نے کئے ہیں ان کے شر سے مجھے بچا، کیونکہ تُو ہی فیصلہ کرتا ہے اور تیرے فیصلے پر کوئی فیصلہ نہیں ہو سکتا، بے شک جسے تُو ولی بنائے، وہ ذلیل نہیں ہوتا اور جس سے تُو دشمنی کرے، وہ عزت نہیں پاتا، تُو برکتوں والا ہے، اے ہمارے رب، اور تو بلند و بالا ہے!""
","O Allah , guide me with those whom You have guided , and strengthen me with those whom You have given strength. Take me to Your care with those whom You have taken to Your care. Bless me in what You have given me. Protect me from the evil You have ordained. Surely, You command and are not commanded","Abu Dawud, Ibn Majah, An-Nasa'i, At-Tirmithi, Ahmad, Ad-Darimi, Al-Hakim, and Al-Bayhaqi. See also Al-Albani, Sahih At-Tirmithi Sahih Ibn Majah  and 'Irwa'ul-GhaW. ",Hadith,"Al-Albani, Sahih At-Tirmithi 1/144, Sahih Ibn Majah 1/194, and 'Irwa'ul-GhaW. 2/ 172.",وتر کی دعا (قنوت)
11,Prayer,Supplication of Vitr (Qunut),2,0,Supplication of Vitr (Qunut),2,اَللّٰھُمَّ اِنِّیْٓ اَعُوْذُ بِرِضَاکَ مِنْ سَخَطِکَ وَبِمُعَافَاتِکَ مِنْ عُقُوْبَتِکَ وَاَعُوْذُبِکَ مِنْکَ، لَآ اُحْصِیْ ثَنَآئً عَلَیْکَ اَنْتَ کَمَآ اَثْنَیْتَ عَلٰی نَفْسِکَ,"""اے اللہ! میں تیری رضا سے تیری ناراضگی سے پناہ مانگتا ہوں، اور تیری معافی سے تیری عذاب سے پناہ مانگتا ہوں، اور میں تجھ سے تیری ذات کی پناہ مانگتا ہوں، میں تیری تعریفوں کو شمار نہیں کر سکتا، جیسا کہ تُو نے اپنی ذات کی تعریف کی ہے۔""","O Allah , I seek refuge with Your Pleasure from Your anger . I seek refuge in Your forgiveness from Your punishment . I seek refuge in You from You . I cannot count Your praises , You are as You have praised Yourself.","Abu Dawud, Ibn Majah, An-Nasa'i, At-Tirmithi, Ahmad. See Al-Albani, Sahih At-Tirmithi  Sahih Ibn Majah  and 'Irwa'ul-Ghalil. ",Hadith,"Sahih Ibn Majah 1/194, and 'Irwa'ul-Ghalil. 2/ 175.",وتر کی دعا (قنوت)
12,Prayer,Supplication after performing Vitr,2,0,Supplication after performing Vitr,2,سُبْحَانَ الْمَلِکِ الْقُدُّوْسِ,"""پاک ہے وہ بادشاہ جو نہایت مقدس ہے۔""","Glory is to the King, the Holy. [Recite three times in Arabic, and raise and extend the voice on the third time and say . . .]",Sunan An-Nasa'i ,Hadith, (Hadith 1737).,وتر ادا کرنے کے بعد کی دعا
12,Prayer,Supplication after performing Vitr,2,0,Supplication after performing Vitr,2,رَبُّ الْمَلَآئِکَۃِ وَالرُّوْحِ,"""فرشتوں اور روح کا رب ہے۔""",Lord of the angels and the Spirit.,The final addition is from Ad-Daraqutni's version  and its chain of narration is authentic. See the checking of Zadul-Ma'ad by Shu'aib Al-Arna'ut and 'Abdul-Qadir Al-Arna'ut ,Hadith,Abdul-Qadir Al-Arna'ut 1/337.,وتر ادا کرنے کے بعد کی دعا
