id,type,heading,totalCount,numSubCategories,subHeading,numOfDuas,arabic,roman,translation,refText,refType,refChapter
7,Prayer,Supplication before ablution,1,0,Supplication before ablution,1,بِسْمِ اللّٰہِ,,In the Name of Allah,"Abu Dawud, Ibn Majah, and Ahmad. See also Al-Albani, 'Irwa'ul-Ghain ",Hadith,"Al-Albani, 'Irwa'ul-Ghain 1/122."
8,Prayer,Supplication after ablution,1,0,Supplication after ablution,1,اَشْھَدُ اَنْ لَّآ اِلٰہَ اِلَّا اللّٰہُ وَحْدَہٗ لَاشَرِیْکَ لَہٗ وَاَشْھَدُ اَنَّ مُحَمَّدًا عَبْدُہٗ وَرَسُوْلُہٗ,,"I bear witness that none has the right to be worshipped but Allah alone, Who has no partner; and I bear witness that Muhammad is His slave and His Messenger.", Muslim ,Hadith, Muslim 1/209.
9,"Daily, Prayer",Supplication and recitation of Durood after Azan,1,0,Supplication and recitation of Durood after Azan,1,اَللّٰھُمَّ رَبَّ ھٰذِہِ الدَّعْوَۃِ التَّآمَّۃِ وَالصَّلٰوۃِ الْقَآئِمَۃِ اٰتِ مُحَمَّدَ ۨ  الْوَسِیْلَۃَ وَالْفَضِیْلَۃَ وَابْعَثْہُ مَقَامًا مَّحْمُودَ  ۨ الَّذِیْ وَعَدْتَّہٗ (اِنَّکَ لَا تُخْلِفُ الْمِیْعَادَ),,"After replying to the call of Mu'aththin. you should recite in Arabic Allah's blessings on the Prophet.O Allah , Lord of this perfect call and established prayer. Grant Muhammad the intercession and favor, and raise him to the honored station You have promised him, [verily You do not neglect promises].","Al-Bukhari and the addition between brackets is from Al-Bayhaqi 1/410 with a good (Hasan) chain of narration. See 'Abdul-Azlz bin Baz's Tuhfatul-'Akhyar, ",Hadith,Al-Bukhari 1/152
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,اَللّٰہُ اَکْبَرُ,,Allah is the Greatest, Sahih Muslim ,Hadith,Sahih Muslim 583
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,اَللّٰھُمَّ اَعِنِّیْ عَلٰی ذِکْرِکَ وَشُکْرِکَ وَحُسْنِ عِبَادَتِکَ,,, Sahih Muslim ,Hadith, 
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,لَآ اِلٰہَ اِلَّا اللّٰہُ وَحْدَہٗ لَاشَرِیْکَ لَہٗ، لَہُ الْمُلْکُ وَلَہُ الْحَمْدُ وَھُوَ عَلٰی کُلِّ شَیْئٍ قَدِیْرٌ  اَللّٰھُمَّ لَا مَانِعَ لِمَآ اَعْطَیْتَ وَلَا مُعْطِیَ لِمَا مَنَعْتَ وَلَا یَنْفَعُ ذَا الْجَدِّ مِنْکَ الْجَدُّ,,"None has the right to be worshipped but Allah alone, He has no partner, His is the dominion and His is the praise, and He is Able to do all things. O Allah, there is none who can withhold what You give, and none may give what You have withheld; and the might of the mighty person cannot benefit him against You.",Al-Bukhari Muslim ,Hadith,"Al-Bukhari 1/255, Muslim 1/414."
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,لَآ اِلٰہَ اِلَّا اللّٰہُ وَحْدَہٗ لَا شَرِیْکَ لَہٗ، لَہُ الْمُلْکُ وَلَہُ الْحَمْدُ وَھُوَ عَلٰی کُلِّ شَیْئٍ قَدِیْرٌ،لَا حَوْلَ وَلَا قُوَّۃَ اِلَّا بِاللّٰہِ، لَآ اِلٰہَ اِلَّا اللّٰہُ وَلَا نَعْبُدُ اِلَّآ اِیَّاہُ، لَہُ النِّعْمَۃُ وَلَہُ الْفَضْلُ وَلَہُ الثَّنَآئُ الْحَسَنُ لَآ اِلٰہَ اِلَّا اللّٰہُ مُخْلِصِیْنَ لَہُ الدِّیْنَ وَلَوْکَرِہَ الْکَافِرُوْنَ,,"None has the right to be worshipped but Allah alone, He has no partner, His is the dominion and His is the praise and He is Able to do all things. There is no power and no might except by Allah . None has the right to be worshipped but Allah, and we do not worship any other besides Him . His is grace , and His is bounty ", Muslim ,Hadith,Muslim 1/415.
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,سُبْحَانَ اﷲِ، (33) مرتبہ،  اَلْحَمْدُلِلّٰہِ، (33) مرتبہ،  اَللّٰہُ اَکْبَرُ(33) مرتبہ،  (ایک مرتبہ)  لَآ اِلٰہَ اِلَّا اللّٰہُ وَحْدَہٗ لَاشَرِیْکَ لَہٗ، لَہُ الْمُلْکُ وَلَہُ الْحَمْدُ وَھُوَ عَلٰی کُلِّ شَیْئٍ قَدِیْرٌ,,"Glory is to Allah , and praise is to Allah , and Allah is the Most Great (each said thirty-three times). None has the right to be worshipped but Allah alone, He has no partner, His is the dominion and His is the praise and He is Able to do all things.", Whoever says this after every prayer will be forgiven his sins even though they be as the foam of the sea,Hadith,"Muslim 1/418,"
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,َللّٰہُ لَاۤ اِلٰہَ اِلَّا ہُوَۚ اَلۡحَیُّ الۡقَیُّوۡمُ  ۬ ۚ لَا تَاۡخُذُہٗ سِنَۃٌ وَّ لَا نَوۡمٌ ؕ لَہٗ مَا فِی السَّمٰوٰتِ وَ مَا فِی الۡاَرۡضِ ؕ مَنۡ ذَا الَّذِیۡ یَشۡفَعُ  عِنۡدَہٗۤ  اِلَّا بِاِذۡنِہٖ ؕ یَعۡلَمُ مَا بَیۡنَ اَیۡدِیۡہِمۡ وَ مَا خَلۡفَہُمۡ  ۚ وَ لَا یُحِیۡطُوۡنَ بِشَیۡءٍ مِّنۡ عِلۡمِہٖۤ اِلَّا بِمَا شَآءَ ۚ وَسِعَ کُرۡسِیُّہُ السَّمٰوٰتِ وَ الۡاَرۡضَ ۚ وَ لَا یَئُوۡدُہٗ حِفۡظُہُمَا ۚ وَ ہُوَ الۡعَلِیُّ  الۡعَظِیۡمُ,,"Allah! There is none worthy of worship but He, the Ever Living, the One Who sustains and protects all that exists. Neither slumber nor sleep overtakes Him. To Him belongs whatever is in the heavens and whatever is on the earth. Who is he that can intercede with Him except with His Permission? He knows what happens to them in this"," An-Nasa'i, 'Amalul-Yawm wal-Laylah  also Ibn As-Sunni ( See also Al-Albani, Sahihul and Silsilatul-Ahadith As-Sahihah ",Hadith," Al-Albani, Sahihul-Jami' As-Saghir 5/339 and Silsilatul-Ahadith As-Sahihah 2/697 (no. 972)."
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,لَآ اِلٰہَ اِلَّا اللّٰہُ وَحْدَہٗ لَاشَرِیْکَ لَہٗ، لَہُ الْمُلْکُ وَلَہُ الْحَمْدُ یُحْیٖ وَیُمِیْتُ وَھُوَ عَلٰی کُلِّ شَیْئٍ قَدِیْرٌ,,"None has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise . He brings life and He causes death , and He is Able to do all things. (Recite ten times in Arabic after the Maghrib and Fajr prayers.)", At-Tirmithi . See its checking in Ibn Al-Qayyim Al-Jawziyyah's Zadul-Ma'ad ,Hadith," At-Tirmithi 5/515, Ahmad 4/227"
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,اَللّٰھُمَّ اِنِّیْٓ اَسْئَلُکَ عِلْمًا نَافِعًا وَّرِزْقًا طَیِّبًا وَّعَمَلًا مُّتَقَبَّلًا,,"O Allah, I ask You for knowledge that is of benefit , a good provision , and deeds that will be accepted. (Recite in Arabic after the Fajr prayer.)"," Ibn Majah and others. See Al-Albani, Sahih Ibn Majah and Majma'uz-Zawd'id ",Hadith,"Al-Albani, Sahih Ibn Majah 1/152 and Majma'uz-Zawd'id 10/111."
10,Daily,Supplication after Tasleem,9,0,Supplication after Tasleem,9,اَسْتَغْفِرُاللّٰہَ، اَسْتَغْفِرُاللّٰہَ، اَسْتَغْفِرُاللّٰہَ، اَللّٰھُمَّ اَنْتَ السَّلَامُ وَمِنْکَ السَّلَامُ تَبَارَکْتَ یَا ذَا الْجَلَالِ وَالْاِکْرَامِ,,"I seek the forgiveness of Allah (three times) . O Allah, You are Peace and from You comes peace . Blessed are You , O Owner of majesty and honor.", Muslim ,Hadith,Muslim 1/414.
11,Prayer,Supplication of Vitr (Qunut),2,0,Supplication of Vitr (Qunut),2,اَللّٰھُمَّ اھْدِنِیْ فِیْمَنْ ھَدَیْتَ وَعَافِنِیْ فِیْمَنْ عَافَیْتَ وَتَوَلَّنِیْ فِیْمَنْ تَوَلَّیْتَ وَبَارِکْ لِیْ فِیْمَآ اَعْطَیْتَ وَقِنِیْ شَرَّ مَا قَضَیْتَ فَاِنَّکَ تَقْضِیْ وَلَا یُقْضٰی عَلَیْکَ اِنَّہٗ لَا یَذِلُّ مَنْ وَّالَیْتَ (وَلَا یَعِزُّ مَنْ عَادَیْتَ) تَبَارَکْتَ رَبَّنَا وَتَعَالَیْتَ,,"O Allah , guide me with those whom You have guided , and strengthen me with those whom You have given strength. Take me to Your care with those whom You have taken to Your care. Bless me in what You have given me. Protect me from the evil You have ordained. Surely, You command and are not commanded","Abu Dawud, Ibn Majah, An-Nasa'i, At-Tirmithi, Ahmad, Ad-Darimi, Al-Hakim, and Al-Bayhaqi. See also Al-Albani, Sahih At-Tirmithi Sahih Ibn Majah  and 'Irwa'ul-GhaW. ",Hadith,"Al-Albani, Sahih At-Tirmithi 1/144, Sahih Ibn Majah 1/194, and 'Irwa'ul-GhaW. 2/ 172."
11,Prayer,Supplication of Vitr (Qunut),2,0,Supplication of Vitr (Qunut),2,اَللّٰھُمَّ اِنِّیْٓ اَعُوْذُ بِرِضَاکَ مِنْ سَخَطِکَ وَبِمُعَافَاتِکَ مِنْ عُقُوْبَتِکَ وَاَعُوْذُبِکَ مِنْکَ، لَآ اُحْصِیْ ثَنَآئً عَلَیْکَ اَنْتَ کَمَآ اَثْنَیْتَ عَلٰی نَفْسِکَ,,"O Allah , I seek refuge with Your Pleasure from Your anger . I seek refuge in Your forgiveness from Your punishment . I seek refuge in You from You . I cannot count Your praises , You are as You have praised Yourself.","Abu Dawud, Ibn Majah, An-Nasa'i, At-Tirmithi, Ahmad. See Al-Albani, Sahih At-Tirmithi  Sahih Ibn Majah  and 'Irwa'ul-Ghalil. ",Hadith,"Sahih Ibn Majah 1/194, and 'Irwa'ul-Ghalil. 2/ 175."
12,Prayer,Supplication after performing Vitr,2,0,Supplication after performing Vitr,2,سُبْحَانَ الْمَلِکِ الْقُدُّوْسِ,,"Glory is to the King, the Holy. [Recite three times in Arabic, and raise and extend the voice on the third time and say . . .]",,Hadith,
12,Prayer,Supplication after performing Vitr,2,0,Supplication after performing Vitr,2,رَبُّ الْمَلَآئِکَۃِ وَالرُّوْحِ,,Lord of the angels and the Spirit.,The final addition is from Ad-Daraqutni's version  and its chain of narration is authentic. See the checking of Zadul-Ma'ad by Shu'aib Al-Arna'ut and 'Abdul-Qadir Al-Arna'ut ,Hadith,Abdul-Qadir Al-Arna'ut 1/337.
13,"Protection, Daily, Travel",Invocation seeking help from Allah,1,0,Invocation seeking help from Allah,1,اَللّٰھُمَّ اِنِّیْٓ اَسْتَخِیْرُکَ بِعِلْمِکَ وَاَسْتَقْدِرُکَ بِقُدْرَتِکَ وَاَسْئَلُکَ مِنْ فَضْلِکَ الْعَظِیْمِ فَاِنَّکَ تَقْدِرُ وَلَآ اَقْدِرُ وَتَعْلَمُ وَلَآ اَعْلَمُ وَاَنْتَ عَلَّامُ الْغُیُوْبِ، اَللّٰھُمَّ اِنْ کُنْتَ تَعْلَمُ اَنَّ ھٰذَا الْاَمْرَ خَیْرٌ لِّیْ فِیْ دِیْنِیْ وَمَعَاشِیْ وَعَاقِبَۃِ اَمْرِیْ فَاقْدُرْہُ لِیْ وَیَسِّرْہُ لِیْ ثُمَّ بَارِکْ لِیْ فِیْہِ وَاِنْ کُنْتَ تَعْلَمُ اَنَّ ھٰذَا الْاَمْرَ شَرٌّ لِّیْ فِیْ دِیْنِیْ وَمَعَاشِیْ وَعَاقِبَۃِ اَمْرِیْ فَاصْرِفْہُ عَنِّیْ وَاصْرِفْنِیْ عَنْہُ وَاقْدُرْ لِیَ الْخَیْرَ حَیْثُ کَانَ ثُمَّ اَرْضِنِیْ بِہٖ,,"O Allah, I seek the counsel of Your Knowledge, and I seek the help of Your Omnipotence, and I beseech You for Your Magnificent Grace. Surely, You are Capable and I am not. You know and I know not, and You are the Knower of the unseen. O Allah, if You know that this matter [then mention the thing to be decided] ",,Hadith,Al-Bukhari 7/162. and Aal-'Imran 3:159.
14,Prayer,Supplications of prostration after recitation,2,0,Supplications of prostration after recitation,2,سَجَدَ وَجْھِیَ لِلَّذِیْ خَلَقَہٗ وَشَقَّ سَمْعَہٗ وَبَصَرَہٗ بِحَوْلِہٖ وَقُوَّتِہٖ فَتَبٰرَکَ اللّٰہُ اَحْسَنُ الْخَالِقِیْنَ,,,,,
14,Prayer,Supplications of prostration after recitation,2,0,Supplications of prostration after recitation,2,اَللّٰھُمَّ اَکْتُبْ لِیْ بِھَا عِنْدَکَ اَجْرًا وَّضَعْ عَنِّیْ بِھَا وِزْرًا وَّاجْعَلْھَا لِیْ عِنْدَکَ ذُخْرًا وَّتَقَبَّلْھَا مِنِّیْ کَمَا تَقَبَّلْتَھَا مِنْ عَبْدِکَ دَاوٗدَ,,,,,
15,"Morning, Evening",Supplications and prayers of Morning and Evening,5,0,Supplications and prayers of Morning and Evening,5,حَسْبِیَ اللّٰہُ لَآ اِلٰہَ اِلَّا ھُوَ عَلَیْہِ تَوَکَّلْتُ وَھُوَ رَبُّ الْعَرْشِ الْعَظِیْمِ,,"Allah is sufficient for me . There is none worthy of worship but Him . I have placed my trust in Him, He is Lord of the Majestic Throne . (Recite seven times in Arabic .)","Allah will grant whoever recites this seven times in the morning or evening whatever he desires from this world or the next, Ibn As-Sunni  Both reports are attributed directly to the Prophet  The chain of transmission is sound (Sahih). Ibn As-Sunni.",Hadith,"Ibn As-Sunni (no. 71), Abu Dawud 4/321. Both "
15,"Morning, Evening",Supplications and prayers of Morning and Evening,5,0,Supplications and prayers of Morning and Evening,5,بِسْمِ اللّٰہِ الَّذِیْ لَا یَضُرُّ مَعَ اسْمِہٖ شَیْئٌ فِی الْاَرْضِ وَلَا فِی السَّمَآئِ وَھُوَ السَّمِیْعُ الْعَلِیْمُ,,"In the Name of Allah, Who with His Name nothing can cause harm in the earth nor in the heavens, and He is the All-Hearing, the All-Knowing. (Recite three times in Arabic).","Whoever recites it three times in the morning will not be afflicted by any calamity before evening, and whoever recites it three times in the evening will not be overtaken by any calamity before morning."""" Abu Dawud 4/323, At-Tirmithi 5/465, Ibn Majah 2/332, Ahmad. Ibn Majah's chain of transmission is good (Hasan), Ibn Baz, p. 39.",Hadith," Abu Dawud 4/323, At-Tirmithi 5/465, Ibn Majah 2/332, "
15,"Morning, Evening",Supplications and prayers of Morning and Evening,5,0,Supplications and prayers of Morning and Evening,5,اَعُوْذُ بِکَلِمَاتِ للّٰہِ التَّآمَّاتِ مِنْ شَرِّ مَا خَلَقَ,,I seek refuge in the Perfect Words of Allah from the evil of what He has created. (Recite three times in Arabic in the evening .),"Whoever recites this three times in the evening will be protected from insect stings, Ahmad  An-Nasa'i, 'Amalul-Yawm wal-Laylah At-Tirmithi  Ibn As-Sunni no. 68. According to Al-Albani, Ibn Majah's  chain of transmission is sound (Sahih), and following Ibn Baz -Tirmithi's report is good (Hasan).",Hadith,"Ibn Majah's (2/266) chain of transmission is sound (Sahih), and following Ibn Baz 45, At-Tirmithi's report is good (Hasan)."
15,"Morning, Evening",Supplications and prayers of Morning and Evening,5,0,Supplications and prayers of Morning and Evening,5,رَضِیْتُ بِاللّٰہِ رَبًّا وَّبِالْاِسْلَامِ دِیْنًا وَّبِمُحَمَّدٍ نَبِیًّا,,"I am pleased with Allah as my Lord, with Islam as my religion and with Muhammad (peace and blessings of Allah be upon him) as my Prophet. (Recite three times in Arabic .)","I am pleased with Allah as my Lord, with Islam as my religion and with Muhammad (peace and blessings of Allah be upon him) as my Prophet. (Recite three times in Arabic .)",Hadith,"Ahmad 4/ 337, An-Nasa'i, 'Amalul-Yawm wal-Laylah p. 4, Ibn As-Sunni (no. 68), At-Tirmithi 5/465. Its chain of transmission is good (Hasan), Ibn Baz, p. 39."
15,"Morning, Evening",Supplications and prayers of Morning and Evening,5,0,Supplications and prayers of Morning and Evening,5,سُبْحَانَ اللّٰہِ وَبِحَمْدِہٖ عَدَدَ خَلْقِہٖ وَرِضَا نَفْسِہٖ، وَزِنَۃَ عَرْشِہٖ وَمِدَادَ کَلِمَاتِہٖ,,"Glory is to Allah and praise is to Him, by the multitude of His creation, by His Pleasure, by the weight of His Throne, and by the extent of His Words. (Recite three times in Arabic upon rising in the morning .)","Glory is to Allah and praise is to Him, by the multitude of His creation, by His Pleasure, by the weight of His Throne, and by the extent of His Words. (Recite three times in Arabic upon rising in the morning .)",Hadith,Muslim 4/2090.
16,Trials,Supplication for solving Problems/Troubles,1,0,Supplication for solving Problems/Troubles,1,اَللّٰھُمَّ لَا سَھْلَ اِلَّا مَا جَعَلْتَہٗ سَھْلًا وَّاَنْتَ تَجْعَلُ الْحَزَنَ اِذَا شِئْتَ سَھْلًا,,"O Allah, there is no ease other than what You make easy. If You please You ease sorrow.",Ibn Hibban in his Sahih  and Ibn As- Sunni  Al-Hafidh (Ibn Hajar) said that this Hadith is authentic. It was also declared authentic by 'Abdul-Qadir Al-Arna'ut in his checking of An-Nawawi's Kitabul-Athkarp. ,Hadith,"Ibn Hibban in his Sahih (no. 2427), and Ibn As- Sunni (no. 351)."
17,Trials,Supplications upon anxiety/depression,3,0,Supplications upon anxiety/depression,3,لَآ اِلٰہَ اِلَّا اللّٰہُ الْعَظِیْمُ الْحَلِیْمُ، لَآ اِلٰہَ اِلَّا اللّٰہُ رَبُّ الْعَرْشِ الْعَظِیْمِ، لَآ اِلٰہَ اِلَّا اللّٰہُ رَبُّ السَّمٰوٰتِ وَرَبُّ الْاَرْضِ وَرَبُّ الْعَرْشِ الْکَرِیْمِ,,"There is none worthy of worship but Allah the Mighty, the Forbearing. There is none worthy of worship but Allah, Lord of the Magnificent Throne. There is none worthy of worship but Allah, Lord of the heavens and Lord of the earth, and Lord of the Noble Throne.",Al-Bukhari  Muslim ,Hadith,
17,Trials,Supplications upon anxiety/depression,3,0,Supplications upon anxiety/depression,3,َللّٰھُمَّ رَحْمَتَکَ اَرْجُوْ فَلَا تَکِلْنِیْ اِلٰی نَفْسِیْ طَرْفَۃَ عَیْنٍ وَّاَصْلِحْ لِیْ شَاْنِیْ کُلَّہٗ لَآ اِلٰہَ اِلَّآ اَنْتَ,,"O Allah , I hope for Your mercy . Do not leave me to myself even for the blinking of an eye (i.e. a moment) . Correct all of my affairs for me . There is none worthy of worship but You.",Abu Dawud / Ahmad  Al-Albani graded it as good in Sahih Abu Dawud ,Hadith," Al-Bukhari 8/154, Muslim 4/2092"
17,Trials,Supplications upon anxiety/depression,3,0,Supplications upon anxiety/depression,3,اَللّٰہُ اَللّٰہُ رَبِّیْ لَآ اُشْرِکُ بِہٖ شَیْئًا,,"Allah, Allah is my Lord. I do not associate anything with Him.","Abu Dawud . See also Al-Albani, Sahih Ibn Mdjah ",Hadith, Al-Albani graded it as good in Sahih Abu Dawud 3/959.
18,Trials,Supplications to be free from debts/loans,3,0,Supplications to be free from debts/loans,3,اَللّٰھُمَّ اکْفِنِیْ بِحَلَالِکَ عَنْ حَرَامِکَ وَاَغْنِنِیْ بِفَضْلِکَ عَمَّنْ سِوَاکَ,,"O Allah, suffice me with what You have allowed instead of what You have forbidden , and make me independent of all others besides You.","At-Tirmith See also Al-Albani, Sahih At-Tirmithi ",Hadith,"At-Tirmithi 5/560. See also Al-Albani, Sahih At-Tirmithi 3/180."
